Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP,Condition,Trim,Location,Origin,Horsepower,Color,Source,Source_URL,Source_ID,Collected_At
Ford,Escort,130000,1998,Benzine,Manual,1300,Sedan,"EGP 140,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-1,
Speranza,A113,83000,2012,Benzine,Manual,1300,Hatchback,"EGP 243,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-2,
Honda,City,100000,2008,Benzine,Automatic,1500,Sedan,"EGP 240,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-3,
Volkswagen,Pointer,180000,2006,Benzine,Manual,1600,Hatchback,"EGP 155,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-4,
Geely,Emgrand 7,215000,2017,Diesel,Manual,1600,Sedan,"EGP 380,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-5,
Nissan,Sunny,95000,2022,Benzine,Automatic,,Sedan,"EGP 530,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-6,
Citroen,C3,550000,2004,Benzine,Manual,,,"EGP 230,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-7,
Skoda,Kodiaq,22000,2023,Benzine,Automatic,1400,Estate,"EGP 2,000,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-8,
Suzuki,Swift,52000,2010,Benzine,Automatic,,,"EGP 165,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-9,
Toyota,Land Cruiser,42000,2023,Benzine,Automatic,3500,4X4,"EGP 7,700,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-10,
Opel,Vectra,1,1998,Benzine,Manual,1600,Sedan,"EGP 230,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-11,
Fiat,Grand Punto,130000,2013,Benzine,Automatic,,Hatchback,"EGP 418,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-12,
Peugeot,RCZ,127000,2011,Benzine,Manual,1600,Sports / Coupe,"EGP 975,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-13,
Seat,Ibiza,200000,1999,Benzine,Manual,1600,Hatchback,"EGP 190,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-14,
BYD,F3,73000,2025,Natural Gas,Manual,1500,Sedan,"EGP 620,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-15,
Hyundai,I20,230000,2012,Benzine,Automatic,1400,Hatchback,"EGP 465,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-16,
Nissan,Juke,142000,2015,Benzine,Automatic,1600,SUV,"EGP 660,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-17,
Seat,Ibiza,50000,2021,Benzine,Automatic,1600,Hatchback,"EGP 900,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-18,
Mercedes-Benz,E250,124000,2010,Benzine,Automatic,,Sedan,"EGP 1,800,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-19,
Fiat,Panda,123000,2017,Benzine,Manual,1200,Hatchback,"EGP 400,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-20,
Kia,Sorento,14000,2023,Benzine,Automatic,,SUV,"EGP 2,100,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-21,
Seat,Toledo,99000,2017,Benzine,Automatic,1600,Sedan,"EGP 700,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-22,
Seat,Ibiza,230000,2014,Benzine,Automatic,1600,Hatchback,"EGP 500,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-23,
Mercedes-Benz,C180,29000,2017,Benzine,Automatic,1600,Convertible,"EGP 2,350,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-24,
Hyundai,Accent,275,2015,Benzine,Automatic,1600,Sedan,"EGP 550,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-25,
Opel,Corsa,43000,2022,Benzine,Automatic,1300,Hatchback,"EGP 825,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-26,
Peugeot,407,92000,2008,Diesel,Manual,1600,Sedan,"EGP 400,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-27,
Nissan,Pickup,279850,2014,Diesel,Manual,,Pickup,"EGP 425,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-28,
Hyundai,Elantra,110000,2019,Benzine,Automatic,1600,Sedan,"EGP 690,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-29,
Mercedes-Benz,GLA 200,94000,2021,Benzine,Automatic,1600,SUV,"EGP 2,000,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-30,
Mitsubishi,Lancer,186000,2014,Benzine,Automatic,,Sedan,"EGP 540,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-31,
Ford,Focus,264000,2008,Benzine,Automatic,,,"EGP 280,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-32,
BMW,525,150000,2007,Benzine,Automatic,2500,Sedan,"EGP 870,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-33,
BYD,F3,70000,2025,Benzine,Manual,1500,Sedan,"EGP 620,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-34,
Opel,Grandland,20000,2024,Benzine,Automatic,1600,SUV,"EGP 1,550,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-35,
Daewoo,Lanos,25000,1979,Benzine,Manual,1500,Sedan,"EGP 290,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-36,
Nissan,Sunny,38000,2023,Benzine,Automatic,1500,Sedan,"EGP 670,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-37,
Kia,Sportage,68000,2022,Benzine,Automatic,1600,SUV,"EGP 1,530,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-38,
Jaguar,XE,57000,2021,Benzine,Automatic,2000,Sedan,"EGP 2,700,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-39,
Speranza,A113,140000,2014,Benzine,Manual,,,"EGP 230,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-40,
Mercedes-Benz,E230,190000,2008,Benzine,Automatic,2500,Sedan,"EGP 1,030,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-41,
Volkswagen,Tiguan,66000,2023,Benzine,Automatic,1400,SUV,"EGP 1,770,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-42,
Hyundai,Verna,208000,2010,Hybrid,Automatic,1600,Sedan,"EGP 310,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-43,
Fiat,127,1,1980,Benzine,Manual,,Hatchback,"EGP 20,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-44,
